"","RelativeStrength","CmeRadius","DeltaOrientation","ApexCoeff","Helicity","bgRunIdx","BrFactor_ADAPT","PoyntingFluxPerBSi","LperpTimesSqrtBSi"
"1",0.53375,0.50375,36.675,1.1478125,1,17,1.08087041032422,300475,175994.542760121
"2",0.51125,0.37625,0.224999999999994,0.9021875,1,6,0.821207461547538,314446.071428568,140095.010718056
"3",1.14125,0.73625,-6.075,1.1646875,-1,8,0.88719036869668,390413.458638033,128123.862033631
"4",0.92375,0.52125,-8.775,0.8796875,1,16,1.05968841521739,379478.489056604,225877.966865679
"5",1.08875,0.54625,-42.075,1.0615625,1,1,0.71507083949455,507614.887520959,123835.597474401
"6",1.15625,0.41625,-4.725,0.9415625,1,11,0.952379098260959,325492.925686226,199598.533497777
"7",0.55625,0.35125,11.475,1.2209375,-1,2,0.727078473815264,305196.698903132,216541.271856411
"8",1.92125,0.72625,34.425,0.9621875,1,16,1.05968841521739,379478.489056604,225877.966865679
"9",1.57625,0.40625,-42.525,0.9546875,1,16,1.05968841521739,379478.489056604,225877.966865679
"10",1.40375,0.50625,-17.325,1.0353125,1,11,0.952379098260959,325492.925686226,199598.533497777
"11",0.65375,0.75375,9.225,1.1384375,-1,3,0.745933150993899,367697.749285884,165665.704034516
"12",1.65875,0.44375,-33.975,0.8984375,1,8,0.88719036869668,390413.458638033,128123.862033631
"13",0.59375,0.79875,5.625,1.1271875,1,8,0.88719036869668,390413.458638033,128123.862033631
"14",1.02875,0.62125,-19.575,0.9565625,1,5,0.804112419115475,404603.379740144,207105.243691017
"15",1.25375,0.70375,36.225,1.1928125,1,2,0.727078473815264,305196.698903132,216541.271856411
"16",0.63125,0.51875,2.025,0.9359375,-1,7,0.86134741758532,345527.935497053,234414
"17",0.93125,0.67125,26.325,1.0390625,1,8,0.88719036869668,390413.458638033,128123.862033631
"18",0.50375,0.64125,29.475,1.0315625,-1,2,0.727078473815264,305196.698903132,216541.271856411
"19",0.60125,0.79125,-20.025,0.9340625,-1,17,1.08087041032422,300475,175994.542760121
"20",0.86375,0.68125,12.825,0.9903125,-1,16,1.05968841521739,379478.489056604,225877.966865679
"21",0.69125,0.47375,-37.125,1.0634375,-1,17,1.08087041032422,300475,175994.542760121
"22",1.53125,0.59625,-12.825,1.1909375,-1,16,1.05968841521739,379478.489056604,225877.966865679
"23",0.66875,0.73875,28.575,1.2359375,-1,1,0.71507083949455,507614.887520959,123835.597474401
"24",0.99875,0.39125,42.525,1.0671875,-1,2,0.727078473815264,305196.698903132,216541.271856411
"25",0.72125,0.58625,-22.275,1.1815625,-1,2,0.727078473815264,305196.698903132,216541.271856411
"26",1.34375,0.48125,-29.925,1.1290625,1,2,0.727078473815264,305196.698903132,216541.271856411
"27",0.95375,0.64875,10.125,1.1890625,-1,7,0.86134741758532,345527.935497053,234414
"28",0.80375,0.57625,24.975,1.1721875,1,16,1.05968841521739,379478.489056604,225877.966865679
"29",0.58625,0.72375,-14.175,1.0034375,-1,11,0.952379098260959,325492.925686226,199598.533497777
"30",0.78875,0.75875,1.12499999999999,1.0071875,1,17,1.08087041032422,300475,175994.542760121
"31",1.41875,0.66625,-10.125,1.0428125,-1,7,0.86134741758532,345527.935497053,234414
"32",0.72875,0.53375,-7.875,1.0334375,1,5,0.804112419115475,404603.379740144,207105.243691017
"33",0.81875,0.56875,-20.925,1.2471875,1,8,0.88719036869668,390413.458638033,128123.862033631
"34",1.54625,0.63375,39.375,1.0484375,-1,17,1.08087041032422,300475,175994.542760121
"35",0.94625,0.33625,24.525,1.0278125,-1,17,1.08087041032422,300475,175994.542760121
"36",0.63875,0.65375,29.925,0.9865625,-1,5,0.804112419115475,404603.379740144,207105.243691017
"37",0.75125,0.50875,-38.925,1.1309375,-1,16,1.05968841521739,379478.489056604,225877.966865679
"38",0.51875,0.66125,4.275,1.0709375,-1,1,0.71507083949455,507614.887520959,123835.597474401
"39",0.56375,0.46625,26.775,0.9509375,1,1,0.71507083949455,507614.887520959,123835.597474401
"40",0.84125,0.46375,-6.975,1.2003125,-1,6,0.821207461547538,314446.071428568,140095.010718056
"41",0.78125,0.77625,-27.675,1.1065625,1,1,0.71507083949455,507614.887520959,123835.597474401
"42",0.71375,0.49125,31.275,1.1834375,-1,8,0.88719036869668,390413.458638033,128123.862033631
"43",0.75875,0.74875,12.375,1.0934375,1,2,0.727078473815264,305196.698903132,216541.271856411
"44",0.82625,0.41375,-21.825,1.0465625,-1,3,0.745933150993899,367697.749285884,165665.704034516
"45",0.81125,0.33875,-39.825,1.0053125,-1,5,0.804112419115475,404603.379740144,207105.243691017
"46",0.79625,0.59125,-34.425,0.9228125,-1,11,0.952379098260959,325492.925686226,199598.533497777
"47",0.57875,0.56125,7.425,1.0540625,-1,6,0.821207461547538,314446.071428568,140095.010718056
"48",0.64625,0.47125,-1.575,0.9115625,1,2,0.727078473815264,305196.698903132,216541.271856411
"49",0.87125,0.68625,-5.625,0.9378125,1,3,0.745933150993899,367697.749285884,165665.704034516
"50",0.85625,0.60375,-15.525,1.1871875,-1,17,1.08087041032422,300475,175994.542760121
"51",1.17125,0.30625,23.175,1.0409375,-1,5,0.804112419115475,404603.379740144,207105.243691017
"52",0.69875,0.70875,21.375,0.9265625,1,6,0.821207461547538,314446.071428568,140095.010718056
"53",0.76625,0.60875,-31.725,1.1009375,1,6,0.821207461547538,314446.071428568,140095.010718056
"54",1.59125,0.54375,-9.675,1.0990625,1,17,1.08087041032422,300475,175994.542760121
"55",1.02125,0.37375,38.475,0.9078125,-1,11,0.952379098260959,325492.925686226,199598.533497777
"56",0.98375,0.46125,34.875,1.0371875,1,7,0.86134741758532,345527.935497053,234414
"57",0.62375,0.51625,-11.925,1.2415625,1,3,0.745933150993899,367697.749285884,165665.704034516
"58",1.56125,0.65125,-1.125,0.9771875,1,6,0.821207461547538,314446.071428568,140095.010718056
"59",1.03625,0.62875,-24.075,1.2040625,1,11,0.952379098260959,325492.925686226,199598.533497777
"60",0.52625,0.45625,-28.125,1.2096875,-1,5,0.804112419115475,404603.379740144,207105.243691017
"61",1.37375,0.34875,-5.175,1.1215625,1,1,0.71507083949455,507614.887520959,123835.597474401
"62",0.96125,0.45875,3.375,1.1028125,-1,11,0.952379098260959,325492.925686226,199598.533497777
"63",0.96875,0.67875,-30.375,1.1178125,1,17,1.08087041032422,300475,175994.542760121
"64",0.66125,0.54125,20.925,0.9659375,1,11,0.952379098260959,325492.925686226,199598.533497777
"65",1.83875,0.71875,-33.525,1.1853125,1,3,0.745933150993899,367697.749285884,165665.704034516
"66",1.00625,0.55125,18.675,1.0090625,1,3,0.745933150993899,367697.749285884,165665.704034516
"67",0.61625,0.71125,-3.375,1.2246875,1,16,1.05968841521739,379478.489056604,225877.966865679
"68",1.38875,0.39625,-35.775,0.8909375,1,3,0.745933150993899,367697.749285884,165665.704034516
"69",0.91625,0.77375,-15.075,0.9584375,1,7,0.86134741758532,345527.935497053,234414
"70",0.70625,0.73125,22.275,1.2265625,1,7,0.86134741758532,345527.935497053,234414
"71",0.93875,0.63875,31.725,1.1365625,-1,6,0.821207461547538,314446.071428568,140095.010718056
"72",1.81625,0.64375,42.975,1.0203125,1,11,0.952379098260959,325492.925686226,199598.533497777
"73",1.23125,0.36875,44.325,1.2190625,1,17,1.08087041032422,300475,175994.542760121
"74",1.96625,0.45375,-11.025,0.9696875,-1,1,0.71507083949455,507614.887520959,123835.597474401
"75",1.08125,0.31375,-25.875,0.9978125,-1,6,0.821207461547538,314446.071428568,140095.010718056
"76",1.71125,0.35625,-15.975,1.2134375,-1,8,0.88719036869668,390413.458638033,128123.862033631
"77",0.90875,0.74375,10.575,0.8759375,1,11,0.952379098260959,325492.925686226,199598.533497777
"78",1.68875,0.47875,28.125,0.8871875,1,11,0.952379098260959,325492.925686226,199598.533497777
"79",1.69625,0.55625,24.075,1.2171875,1,6,0.821207461547538,314446.071428568,140095.010718056
"80",0.99125,0.78375,43.875,1.1046875,1,16,1.05968841521739,379478.489056604,225877.966865679
"81",1.35125,0.56375,16.875,0.9715625,1,7,0.86134741758532,345527.935497053,234414
"82",1.05125,0.37875,16.425,1.1140625,-1,8,0.88719036869668,390413.458638033,128123.862033631
"83",0.54875,0.52625,-32.625,1.0953125,-1,8,0.88719036869668,390413.458638033,128123.862033631
"84",1.21625,0.67625,25.425,1.0690625,-1,11,0.952379098260959,325492.925686226,199598.533497777
"85",1.55375,0.71375,-39.375,0.9303125,1,7,0.86134741758532,345527.935497053,234414
"86",1.23875,0.36375,-29.475,1.2378125,-1,16,1.05968841521739,379478.489056604,225877.966865679
"87",1.38125,0.72875,27.225,1.1740625,1,17,1.08087041032422,300475,175994.542760121
"88",1.16375,0.42625,-0.225000000000001,1.1346875,-1,17,1.08087041032422,300475,175994.542760121
"89",0.90125,0.51125,40.275,1.1665625,1,1,0.71507083949455,507614.887520959,123835.597474401
"90",1.47875,0.65875,-38.475,1.1421875,-1,11,0.952379098260959,325492.925686226,199598.533497777
"91",1.61375,0.30875,3.825,1.0596875,1,7,0.86134741758532,345527.935497053,234414
"92",1.20125,0.69375,-10.575,1.2284375,-1,5,0.804112419115475,404603.379740144,207105.243691017
"93",1.10375,0.49375,-31.275,1.2115625,1,7,0.86134741758532,345527.935497053,234414
"94",1.26125,0.62625,1.575,0.9396875,1,16,1.05968841521739,379478.489056604,225877.966865679
"95",1.18625,0.44625,29.025,0.9209375,-1,3,0.745933150993899,367697.749285884,165665.704034516
"96",0.57125,0.73375,14.625,1.1234375,1,5,0.804112419115475,404603.379740144,207105.243691017
"97",1.29125,0.41875,32.175,1.0521875,-1,1,0.71507083949455,507614.887520959,123835.597474401
"98",1.09625,0.76875,37.125,0.9321875,-1,5,0.804112419115475,404603.379740144,207105.243691017
"99",1.24625,0.76125,-24.975,0.9959375,1,3,0.745933150993899,367697.749285884,165665.704034516
"100",0.67625,0.39375,-18.225,1.0765625,1,16,1.05968841521739,379478.489056604,225877.966865679
"101",1.27625,0.59375,-42.975,1.2303125,-1,6,0.821207461547538,314446.071428568,140095.010718056
"102",1.19375,0.61625,-12.375,0.9940625,1,2,0.727078473815264,305196.698903132,216541.271856411
"103",1.65125,0.33125,-43.875,0.8853125,-1,1,0.71507083949455,507614.887520959,123835.597474401
"104",0.54125,0.61125,-23.175,1.0746875,1,7,0.86134741758532,345527.935497053,234414
"105",1.98125,0.78875,-20.475,1.1684375,-1,6,0.821207461547538,314446.071428568,140095.010718056
"106",1.47125,0.45125,19.125,0.9828125,1,17,1.08087041032422,300475,175994.542760121
"107",1.32125,0.52875,38.025,0.9603125,-1,6,0.821207461547538,314446.071428568,140095.010718056
"108",1.28375,0.58125,-4.275,1.1703125,-1,3,0.745933150993899,367697.749285884,165665.704034516
"109",1.92875,0.53625,-30.825,1.0840625,-1,11,0.952379098260959,325492.925686226,199598.533497777
"110",1.50125,0.70625,40.725,1.0296875,-1,3,0.745933150993899,367697.749285884,165665.704034516
"111",1.32875,0.31625,5.175,1.0896875,1,3,0.745933150993899,367697.749285884,165665.704034516
"112",1.98875,0.59875,-22.725,0.9040625,-1,3,0.745933150993899,367697.749285884,165665.704034516
"113",1.94375,0.47625,-7.425,1.0653125,1,3,0.745933150993899,367697.749285884,165665.704034516
"114",0.88625,0.44875,25.875,0.9003125,1,5,0.804112419115475,404603.379740144,207105.243691017
"115",1.17875,0.57875,-8.325,1.2153125,-1,1,0.71507083949455,507614.887520959,123835.597474401
"116",1.30625,0.34625,15.525,1.1571875,1,11,0.952379098260959,325492.925686226,199598.533497777
"117",1.39625,0.74125,13.725,1.1103125,-1,6,0.821207461547538,314446.071428568,140095.010718056
"118",1.43375,0.58375,41.625,1.1403125,-1,8,0.88719036869668,390413.458638033,128123.862033631
"119",1.60625,0.76625,-26.775,0.9528125,1,11,0.952379098260959,325492.925686226,199598.533497777
"120",1.29875,0.61375,-43.425,0.9490625,1,17,1.08087041032422,300475,175994.542760121
"121",1.80875,0.43625,20.025,0.9134375,-1,16,1.05968841521739,379478.489056604,225877.966865679
"122",0.97625,0.30375,-18.675,1.0259375,-1,1,0.71507083949455,507614.887520959,123835.597474401
"123",0.87875,0.42125,-9.225,0.9921875,-1,8,0.88719036869668,390413.458638033,128123.862033631
"124",1.95875,0.31875,-17.775,1.1796875,1,5,0.804112419115475,404603.379740144,207105.243691017
"125",1.20875,0.33375,-28.575,1.0240625,1,8,0.88719036869668,390413.458638033,128123.862033631
"126",1.46375,0.38875,-37.575,1.1778125,1,6,0.821207461547538,314446.071428568,140095.010718056
"127",0.74375,0.57375,43.425,1.1196875,-1,7,0.86134741758532,345527.935497053,234414
"128",1.52375,0.69875,-40.725,0.9996875,-1,8,0.88719036869668,390413.458638033,128123.862033631
"129",1.33625,0.74625,18.225,1.1515625,-1,16,1.05968841521739,379478.489056604,225877.966865679
"130",1.26875,0.79375,30.375,1.0859375,-1,7,0.86134741758532,345527.935497053,234414
"131",1.74875,0.43375,-33.075,1.0184375,-1,7,0.86134741758532,345527.935497053,234414
"132",1.42625,0.42375,-32.175,0.9809375,1,5,0.804112419115475,404603.379740144,207105.243691017
"133",0.73625,0.76375,-25.425,0.9153125,-1,8,0.88719036869668,390413.458638033,128123.862033631
"134",1.62125,0.61875,-44.325,1.0821875,-1,3,0.745933150993899,367697.749285884,165665.704034516
"135",1.41125,0.78625,0.674999999999997,1.1628125,-1,2,0.727078473815264,305196.698903132,216541.271856411
"136",1.49375,0.32625,17.325,0.8834375,-1,6,0.821207461547538,314446.071428568,140095.010718056
"137",1.45625,0.39875,-6.525,1.2434375,1,2,0.727078473815264,305196.698903132,216541.271856411
"138",1.35875,0.79625,8.325,0.9846875,-1,1,0.71507083949455,507614.887520959,123835.597474401
"139",1.22375,0.35875,-19.125,1.1328125,-1,7,0.86134741758532,345527.935497053,234414
"140",1.53875,0.35375,-2.925,1.1084375,-1,5,0.804112419115475,404603.379740144,207105.243691017
"141",1.58375,0.62375,11.025,1.1946875,1,8,0.88719036869668,390413.458638033,128123.862033631
"142",0.83375,0.55875,13.275,0.8946875,-1,1,0.71507083949455,507614.887520959,123835.597474401
"143",0.84875,0.77875,33.525,1.2228125,-1,11,0.952379098260959,325492.925686226,199598.533497777
"144",1.11125,0.40125,6.075,1.1590625,1,5,0.804112419115475,404603.379740144,207105.243691017
"145",1.11875,0.54875,35.775,0.8890625,1,8,0.88719036869668,390413.458638033,128123.862033631
"146",1.95125,0.48625,14.175,1.0971875,-1,7,0.86134741758532,345527.935497053,234414
"147",1.12625,0.44125,19.575,1.0803125,1,6,0.821207461547538,314446.071428568,140095.010718056
"148",1.48625,0.34375,-36.675,0.9190625,-1,2,0.727078473815264,305196.698903132,216541.271856411
"149",1.74125,0.71625,-13.725,1.1553125,-1,1,0.71507083949455,507614.887520959,123835.597474401
"150",0.89375,0.31125,20.475,0.9753125,1,2,0.727078473815264,305196.698903132,216541.271856411
"151",1.86125,0.53875,39.825,1.2321875,-1,2,0.727078473815264,305196.698903132,216541.271856411
"152",1.63625,0.63125,17.775,1.0109375,1,1,0.71507083949455,507614.887520959,123835.597474401
"153",0.77375,0.64625,33.075,1.1121875,1,3,0.745933150993899,367697.749285884,165665.704034516
"154",1.91375,0.40875,32.625,1.0784375,1,17,1.08087041032422,300475,175994.542760121
"155",1.44125,0.51375,-27.225,1.2340625,-1,17,1.08087041032422,300475,175994.542760121
"156",1.66625,0.57125,-44.775,1.0503125,1,2,0.727078473815264,305196.698903132,216541.271856411
"157",1.97375,0.63625,38.925,0.9096875,1,7,0.86134741758532,345527.935497053,234414
"158",1.68125,0.77125,-23.625,1.0128125,-1,16,1.05968841521739,379478.489056604,225877.966865679
"159",1.67375,0.38375,6.975,0.9246875,-1,17,1.08087041032422,300475,175994.542760121
"160",0.68375,0.60625,42.075,0.8965625,-1,16,1.05968841521739,379478.489056604,225877.966865679
"161",1.70375,0.32375,27.675,1.1496875,-1,2,0.727078473815264,305196.698903132,216541.271856411
"162",1.06625,0.69625,8.77500000000001,0.8815625,-1,2,0.727078473815264,305196.698903132,216541.271856411
"163",1.77125,0.41125,2.925,1.1459375,-1,6,0.821207461547538,314446.071428568,140095.010718056
"164",1.72625,0.34125,-13.275,0.9640625,-1,3,0.745933150993899,367697.749285884,165665.704034516
"165",1.62875,0.49625,15.975,0.9471875,-1,5,0.804112419115475,404603.379740144,207105.243691017
"166",0.60875,0.43875,-24.525,1.1759375,-1,1,0.71507083949455,507614.887520959,123835.597474401
"167",1.76375,0.40375,4.725,0.9171875,1,1,0.71507083949455,507614.887520959,123835.597474401
"168",1.82375,0.38625,35.325,1.0015625,1,5,0.804112419115475,404603.379740144,207105.243691017
"169",1.73375,0.46875,41.175,1.2021875,1,16,1.05968841521739,379478.489056604,225877.966865679
"170",1.89875,0.75125,-21.375,1.1984375,-1,7,0.86134741758532,345527.935497053,234414
"171",1.51625,0.30125,7.875,0.9734375,-1,11,0.952379098260959,325492.925686226,199598.533497777
"172",1.78625,0.52375,21.825,1.1253125,-1,3,0.745933150993899,367697.749285884,165665.704034516
"173",1.79375,0.78125,37.575,1.0165625,1,8,0.88719036869668,390413.458638033,128123.862033631
"174",1.99625,0.68875,-16.875,1.0878125,-1,2,0.727078473815264,305196.698903132,216541.271856411
"175",1.71875,0.70125,-0.674999999999997,1.2396875,1,11,0.952379098260959,325492.925686226,199598.533497777
"176",1.86875,0.67375,-3.825,0.9678125,-1,17,1.08087041032422,300475,175994.542760121
"177",1.31375,0.55375,44.775,1.0915625,-1,5,0.804112419115475,404603.379740144,207105.243691017
"178",1.04375,0.69125,-16.425,1.2490625,1,6,0.821207461547538,314446.071428568,140095.010718056
"179",1.80125,0.58875,-2.475,1.1609375,1,7,0.86134741758532,345527.935497053,234414
"180",1.85375,0.53125,22.725,0.9790625,-1,8,0.88719036869668,390413.458638033,128123.862033631
"181",1.84625,0.60125,-36.225,1.1440625,-1,5,0.804112419115475,404603.379740144,207105.243691017
"182",1.90625,0.36625,6.525,1.0221875,1,2,0.727078473815264,305196.698903132,216541.271856411
"183",1.14875,0.48375,30.825,1.0578125,-1,16,1.05968841521739,379478.489056604,225877.966865679
"184",1.88375,0.37125,-29.025,1.2078125,1,1,0.71507083949455,507614.887520959,123835.597474401
"185",1.87625,0.38125,-41.175,0.9884375,1,11,0.952379098260959,325492.925686226,199598.533497777
"186",1.75625,0.66875,2.47499999999999,1.0559375,1,5,0.804112419115475,404603.379740144,207105.243691017
"187",1.50875,0.48875,-38.025,1.2453125,-1,1,0.71507083949455,507614.887520959,123835.597474401
"188",1.07375,0.36125,-40.275,1.1534375,-1,3,0.745933150993899,367697.749285884,165665.704034516
"189",1.64375,0.75625,-41.625,1.1965625,1,5,0.804112419115475,404603.379740144,207105.243691017
"190",1.56875,0.42875,15.075,1.2059375,1,3,0.745933150993899,367697.749285884,165665.704034516
"191",1.05875,0.66375,-34.875,1.0446875,1,16,1.05968841521739,379478.489056604,225877.966865679
"192",1.93625,0.65625,-11.475,0.9284375,1,8,0.88719036869668,390413.458638033,128123.862033631
"193",1.13375,0.32875,23.625,0.8928125,-1,7,0.86134741758532,345527.935497053,234414
"194",1.77875,0.72125,-26.325,0.8778125,1,17,1.08087041032422,300475,175994.542760121
"195",1.36625,0.49875,-2.025,1.0728125,1,8,0.88719036869668,390413.458638033,128123.862033631
"196",1.59875,0.43125,33.975,0.9434375,1,2,0.727078473815264,305196.698903132,216541.271856411
"197",1.89125,0.50125,-14.625,1.0146875,1,6,0.821207461547538,314446.071428568,140095.010718056
"198",1.01375,0.56625,11.925,0.9059375,1,17,1.08087041032422,300475,175994.542760121
"199",1.44875,0.32125,9.675,1.1159375,1,16,1.05968841521739,379478.489056604,225877.966865679
"200",1.83125,0.68375,-35.325,0.9453125,-1,6,0.821207461547538,314446.071428568,140095.010718056
