Radius,BStrength,ApexHeight,Orientation,realization,restartdir
0.50375,7.715243672456575,0.578210546875,268.805,[9],17
0.37625,9.894267109634553,0.33944804687499996,232.355,[9],6
0.73625,-11.287098132427847,0.8575011718750001,226.055,[4],8
0.52125,12.904322302158272,0.458537109375,223.355,[12],16
0.54625,14.513211899313502,0.579878515625,190.055,[5],1
0.41625,20.226666666666667,0.391925390625,227.405,[4],11
0.35125,-11.531359430604983,0.428854296875,243.605,[2],2
0.72625,19.26302788296041,0.6987886718749999,266.555,[12],16
0.40625,28.252608,0.38784179687500003,189.605,[12],16
0.50625,20.19070814814815,0.524126953125,214.805,[4],11
0.75375,-6.315550248756219,0.858097265625,241.355,[2],3
0.44375,27.218825915492957,0.398681640625,198.155,[4],8
0.79875,5.412769953051644,0.9003410156249999,237.755,[4],8
0.62125,12.057860764587526,0.594264453125,212.555,[5],5
0.70375,12.972370870337478,0.839441796875,268.355,[2],2
0.51875,-8.860742168674697,0.485517578125,234.155,[4],7
0.67125,10.102033519553073,0.697470703125,258.455,[4],8
0.64125,-5.720243274853801,0.661489453125,261.605,[2],2
0.79125,-5.533095734597156,0.739076953125,212.105,[9],17
0.68125,-9.232267155963303,0.6746503906250001,244.95499999999998,[12],16
0.47375,-10.624603693931398,0.503803515625,195.005,[9],17
0.59625,-18.700125786163525,0.710096484375,219.305,[12],16
0.73875,-6.591634517766497,0.913048828125,260.705,[5],1
0.39125,-18.58785431309904,0.417537109375,274.655,[2],2
0.58625,-8.958386353944562,0.6926910156250001,209.855,[2],2
0.48125,20.331740259740258,0.543361328125,202.20499999999998,[2],2
0.64875,-10.704934104046242,0.771404296875,242.255,[4],7
0.57625,10.156331453362256,0.675473046875,257.105,[12],16
0.72375,-5.898221761658031,0.726237890625,217.95499999999998,[4],11
0.75875,7.569505107084019,0.764203515625,233.255,[9],17
0.66625,-15.505846153846154,0.694773828125,222.005,[4],7
0.53375,9.941856674473069,0.551597265625,224.255,[5],5
0.56875,10.482303296703297,0.709337890625,211.20499999999998,[4],8
0.63375,-17.765955029585797,0.664447265625,271.505,[9],17
0.33625,-20.49134275092937,0.34560195312499997,256.655,[9],17
0.65375,-7.114526959847036,0.6449652343750001,262.055,[5],5
0.50875,-10.752436363636363,0.575364453125,193.20499999999998,[12],16
0.66125,-5.712408317580341,0.7081574218750001,236.405,[5],1
0.46625,8.80429383378016,0.443374609375,258.905,[5],1
0.46375,-13.208940161725069,0.5566449218749999,225.155,[9],6
0.77625,7.328502415458938,0.858969140625,204.45499999999998,[5],1
0.49125,-10.579627480916031,0.5813636718749999,263.405,[4],8
0.74875,7.378850083472454,0.818711328125,244.505,[2],2
0.41375,-14.541201208459215,0.43301523437500006,210.305,[2],3
0.33875,-17.438222878228785,0.340549609375,192.305,[5],5
0.59125,-9.806298520084566,0.5456128906250001,197.70499999999998,[4],11
0.56125,-7.508643207126948,0.591592578125,239.555,[9],6
0.47125,9.985642440318303,0.429573828125,230.555,[2],2
0.68625,9.244581420765028,0.6435738281250001,226.505,[2],3
0.60375,-10.326906832298135,0.716764453125,216.605,[9],17
0.30625,-27.848404897959178,0.31878710937500004,255.305,[5],5
0.70875,7.178861375661376,0.656701171875,253.505,[9],6
0.60875,9.165545790554415,0.670195703125,200.405,[9],6
0.54375,21.30914206896552,0.597615234375,222.45499999999998,[9],17
0.37375,-19.896545819397993,0.33929492187500004,270.605,[4],11
0.46125,15.530133333333335,0.47840273437499997,267.005,[4],7
0.51625,8.797865375302665,0.6409566406249999,220.20499999999998,[2],3
0.65125,17.45627332053743,0.636393359375,231.005,[9],6
0.62875,12.000887475149105,0.757054296875,208.055,[4],11
0.45625,-8.398776986301371,0.551919921875,204.005,[5],5
0.34875,28.682718279569894,0.391144921875,226.95499999999998,[5],1
0.45875,-15.257630517711172,0.505915234375,235.505,[4],11
0.67875,10.392707182320443,0.758715234375,201.755,[9],17
0.54125,8.895996304849884,0.522813671875,253.055,[4],11
0.71875,18.62823234782609,0.851943359375,198.605,[2],3
0.55125,13.291809523809524,0.556245703125,250.805,[2],3
0.71125,6.309013708260104,0.871058984375,228.755,[12],16
0.39625,25.52005552050473,0.353033984375,196.355,[2],3
0.77375,8.622637802907915,0.7415910156250001,217.055,[4],7
0.73125,7.032656410256411,0.8969238281249999,254.405,[4],7
0.63875,-10.701529549902153,0.725979296875,263.855,[9],6
0.64375,20.544009320388348,0.656826171875,275.105,[4],11
0.36875,24.313138983050845,0.449529296875,276.455,[9],17
0.45375,-31.553600000000003,0.439995703125,221.105,[5],1
0.31375,-25.093960159362553,0.31306367187499995,206.255,[9],6
0.35625,-34.977229473684204,0.432287109375,216.155,[4],8
0.74375,8.897013781512603,0.651478515625,242.70499999999998,[4],11
0.47875,25.685226109660572,0.424741015625,260.255,[4],11
0.55625,22.204789213483146,0.6770605468750001,256.205,[9],6
0.78375,9.209423923444977,0.865798828125,276.005,[12],16
0.56375,17.453236363636364,0.547718359375,249.005,[4],7
0.37875,-20.21064554455446,0.421951171875,248.555,[4],8
0.52625,-7.592927315914489,0.576408203125,199.505,[4],8
0.67625,-13.096112384473198,0.722953515625,257.555,[4],11
0.71375,15.851188791593694,0.6640105468749999,192.755,[4],7
0.36375,-24.797476288659794,0.450254296875,202.655,[12],16
0.72875,13.801317324185248,0.855598046875,259.355,[9],17
0.42625,-19.880262756598242,0.48366054687500004,231.905,[9],17
0.51125,12.836267970660147,0.596405078125,272.405,[5],1
0.65875,-16.345603036053134,0.7524160156249999,193.655,[4],11
0.30875,38.058889068825906,0.327178515625,235.95499999999998,[4],7
0.69375,-12.608319999999999,0.852228515625,221.555,[5],5
0.49375,16.277602025316455,0.598208984375,200.855,[4],7
0.62625,14.66493892215569,0.588479296875,233.70499999999998,[12],16
0.44625,-19.356410084033616,0.410968359375,261.155,[2],3
0.73375,5.668979897785349,0.8243222656250001,246.755,[5],5
0.41875,-22.453411343283584,0.44060351562500005,264.305,[5],1
0.76875,-10.383679999999998,0.716619140625,269.255,[5],5
0.76125,11.920780295566503,0.758157421875,207.155,[2],3
0.39375,12.50585904761905,0.42389648437500005,213.905,[12],16
0.59375,-15.651607578947369,0.730498046875,189.155,[9],6
0.61625,14.105330628803248,0.612591015625,219.755,[2],2
0.33125,-36.29808905660378,0.29325976562499995,188.255,[5],1
0.61125,6.447715337423314,0.656902734375,208.95499999999998,[4],7
0.78875,-18.290548335974645,0.9216050781249999,211.655,[9],6
0.45125,23.74083988919668,0.443494140625,251.255,[9],17
0.52875,-18.195392907801416,0.5077652343750001,270.155,[9],6
0.58125,-16.08215741935484,0.680244140625,227.855,[2],3
0.53625,-26.1899972027972,0.581328515625,201.305,[4],11
0.70625,-15.47823292035398,0.7272167968750001,272.855,[2],3
0.31625,30.594232411067203,0.34461367187499997,237.305,[2],3
0.59875,-24.185857202505222,0.541307421875,209.405,[2],3
0.47625,29.718866141732285,0.507355078125,224.70499999999998,[2],3
0.44875,14.380652924791086,0.404015234375,258.005,[5],5
0.57875,-14.830558963282936,0.703362109375,223.805,[5],1
0.34625,27.470296028880867,0.40067617187500004,247.655,[4],11
0.74125,-13.715931197301856,0.823019140625,245.855,[9],6
0.58375,-17.88435802997859,0.665657421875,273.755,[4],8
0.76625,15.264039151712888,0.730092578125,205.355,[4],11
0.61375,15.408518126272913,0.582487109375,188.70499999999998,[9],17
0.43625,-30.190473352435525,0.39848710937500004,252.155,[12],16
0.30375,-23.4030024691358,0.311628515625,213.45499999999998,[5],1
0.42125,-15.18980652818991,0.417958984375,222.905,[4],8
0.31875,44.74614588235294,0.37602539062499996,214.355,[5],5
0.33375,26.371937078651687,0.341780859375,203.555,[4],8
0.38875,27.41721414790997,0.45787460937499996,194.555,[9],6
0.57375,-9.439111111111112,0.642420703125,275.555,[4],7
0.69875,-15.878837924865833,0.698531640625,191.405,[4],8
0.74625,-13.038576884422111,0.859353515625,250.355,[12],16
0.79375,-11.639092913385827,0.861962890625,262.505,[4],7
0.43375,-29.357228818443804,0.44174726562500005,199.055,[4],7
0.42375,24.50827610619469,0.41567226562500004,199.95499999999998,[5],5
0.76375,-7.0194147299509,0.699069921875,206.70499999999998,[4],8
0.61875,-19.079263030303032,0.6696035156250001,187.805,[2],3
0.78625,-13.069835294117647,0.914261328125,232.80499999999998,[2],2
0.32625,-33.33912643678161,0.288221484375,249.45499999999998,[9],6
0.39875,26.592677115987463,0.495820703125,225.605,[2],2
0.79625,-12.425587441130297,0.784057421875,240.45499999999998,[5],1
0.35875,-24.83862857142857,0.40639648437500003,213.005,[4],7
0.35375,-31.673673498233214,0.392109765625,229.20499999999998,[5],5
0.62375,18.48855150300601,0.745186328125,243.155,[4],8
0.55875,-10.86538523489933,0.49990664062499995,245.405,[5],1
0.77875,-7.9361258426966295,0.9522652343750001,265.655,[4],11
0.40125,20.16617570093458,0.46507382812500003,238.20499999999998,[5],5
0.54875,14.845175398633257,0.48787304687499994,267.905,[4],8
0.48625,-29.21999383033419,0.533507421875,246.305,[4],7
0.44125,18.585613597733712,0.476687890625,251.70499999999998,[9],6
0.34375,-31.48299054545455,0.315927734375,195.45499999999998,[2],2
0.71625,-17.702039790575913,0.827492578125,218.405,[5],1
0.31125,20.909012048192768,0.303566015625,252.605,[2],2
0.53875,-25.156154060324827,0.663841015625,271.955,[2],2
0.63125,18.87448396039604,0.638154296875,249.905,[5],1
0.64625,8.718201934235978,0.718751171875,265.205,[2],3
0.40875,34.092139449541286,0.44081132812499996,264.755,[9],17
0.51375,-20.42745693430657,0.6339996093750001,204.905,[9],17
0.57125,21.239327789934354,0.599991015625,187.355,[2],2
0.63625,22.58869626719057,0.5787886718749999,271.055,[4],7
0.77125,-15.873179902755268,0.781131640625,208.505,[12],16
0.38375,-31.75916091205212,0.35484882812499996,239.105,[9],17
0.60625,-8.212443711340207,0.543541015625,274.205,[12],16
0.32375,-38.31977142857143,0.37221132812499996,259.805,[2],2
0.69625,-11.151175583482944,0.613787890625,240.905,[2],2
0.41125,-31.361784802431607,0.471266796875,235.055,[9],6
0.34125,-36.83476043956044,0.328986328125,218.855,[2],3
0.49625,-23.89905491183879,0.47004179687500003,248.105,[5],5
0.43875,-10.102960683760685,0.515942578125,207.605,[5],1
0.40375,31.809094736842106,0.370314453125,236.855,[5],1
0.38625,34.38140582524272,0.3868535156249999,267.455,[5],5
0.46875,26.9322112,0.563525390625,273.305,[12],16
0.75125,-18.40391081530782,0.900326171875,210.755,[4],7
0.30125,-36.64971286307054,0.293248046875,240.005,[4],11
0.52375,-24.83390548926014,0.589382421875,253.95499999999998,[2],3
0.78125,16.7185536,0.794189453125,269.705,[4],8
0.68875,-21.104746279491835,0.749230859375,215.255,[2],2
0.70125,17.84705882352941,0.8693308593750001,231.455,[4],11
0.67375,-20.19664564007421,0.6520636718749999,228.305,[9],17
0.55375,-17.27530835214447,0.6044527343749999,276.905,[5],5
0.69125,10.994820976491862,0.863414453125,215.70499999999998,[9],6
0.58875,22.27767643312102,0.683501953125,229.655,[4],7
0.53125,-25.408500705882354,0.520126953125,254.855,[4],8
0.60125,-22.359507692307695,0.6878675781249999,195.905,[5],5
0.36625,37.89911262798635,0.37437617187500005,238.655,[2],2
0.48375,-17.2914480620155,0.511716796875,262.955,[12],16
0.37125,36.947377777777774,0.44840039062500003,203.105,[5],1
0.38125,35.83502163934426,0.37684179687499997,190.95499999999998,[4],11
0.66875,19.12270654205608,0.7061582031249999,234.605,[5],5
0.48875,-22.47798260869565,0.608646484375,194.105,[5],1
0.36125,-21.643233217993078,0.416679296875,191.855,[2],3
0.75625,15.826948760330579,0.9049003906249999,190.505,[5],5
0.42875,26.6425889212828,0.5170457031250001,247.20499999999998,[2],3
0.66375,11.614906214689267,0.693411328125,197.255,[12],16
0.65625,21.484187428571428,0.609287109375,220.655,[4],8
0.32875,-25.111829657794676,0.293512109375,255.755,[4],7
0.72125,17.95791473136915,0.633122265625,205.805,[9],17
0.49875,19.94683909774436,0.535065234375,230.105,[4],8
0.43125,26.994685217391304,0.406857421875,266.105,[2],2
0.50125,27.47396708229427,0.508612109375,217.505,[9],6
0.56625,13.036153642384106,0.512987109375,244.055,[9],17
0.32125,32.8380326848249,0.358494921875,241.805,[12],16
0.68375,-19.501908592321758,0.646357421875,196.805,[9],6
